source,Country,Continent,Consumption(KG),"Yearly coffee
Consumption
per Capita(KG)","Daily Coffee
Consumption
per Capita(CUP)","Coffee
Drinking(YEAR)","Lifetime Cup
Consumption(CUP)","Price
per cup
of coffee","Total Lifetime
Coffee Spending"
38,Hungary,Europe,"25,080,000",2.47,0.64,55,"12,848",$1.57,"$20,171"
39,Venezuela,South America,"76,500,000",2.65,0.69,51,"12,844",$1.59,"$20,423"
40,Slovakia,Europe,"13,620,000",2.35,0.61,56,"12,468",$2.15,"$26,807"
41,Colombia,South America,"121,500,000",2.33,0.6,56,"12,264",$1.14,"$13,981"
42,Ukraine,Europe,"82,740,000",2.25,0.58,51,"10,797",$1.13,"$12,200"
43,Saudi Arabia,Asia,"74,460,000",2.02,0.52,56,"10,629",$3.82,"$40,602"
44,Taiwan,Asia,"42,420,000",1.77,0.46,59,"9,906",$2.79,"$27,638"
45,Dominican Republic,North America,"22,620,000",2,0.52,52,"9,870",$2.11,"$20,825"
46,Russia,Europe,"277,860,000",1.92,0.5,53,"9,673",$2.91,"$28,147"
47,Honduras,North America,"21,000,000",1.98,0.51,51,"9,494",$1.80,"$17,089"
48,Vietnam,Asia,"159,000,000",1.61,0.42,53,"8,125",$1.99,"$16,169"
49,Philippines,Asia,"195,000,000",1.66,0.43,50,"7,848",$2.47,"$19,383"
50,Ethiopia,Africa,"226,860,000",1.79,0.46,45,"7,556",$0.78,"$5,893"
51,Haiti,North America,"20,700,000",1.77,0.46,43,"7,220",$2.74,"$19,782"
52,Turkey,Asia,"102,660,000",1.2,0.31,57,"6,450",$1.54,"$9,932"
53,Thailand,Asia,"84,000,000",1.17,0.3,58,"6,351",$1.81,"$11,495"
54,Morocco,Africa,"45,180,000",1.19,0.31,53,"5,997",$1.62,"$9,715"
55,Guatemala,North America,"23,580,000",1.3,0.34,48,"5,957",$2.37,"$14,118"
56,Mexico,North America,"145,500,000",1.13,0.29,53,"5,610",$2.55,"$14,306"
57,Indonesia,Asia,"288,360,000",1.04,0.27,49,"4,829",$2.06,"$9,948"
58,Argentina,South America,"37,260,000",0.81,0.21,56,"4,292",$1.76,"$7,555"
59,Sudan,Africa,"42,780,000",0.89,0.23,44,"3,694",$1.80,"$6,649"
60,Madagascar,Africa,"22,500,000",0.74,0.19,44,"3,051",$1.19,"$3,631"
61,Egypt,Africa,"74,520,000",0.66,0.17,49,"3,040",$1.99,"$6,050"
62,South Africa,Africa,"39,180,000",0.65,0.17,41,"2,544",$1.72,"$4,376"
63,Peru,South America,"15,000,000",0.44,0.11,55,"2,208",$2.50,"$5,521"
64,Uganda,Africa,"15,240,000",0.31,0.08,42,"1,226",$2.86,"$3,508"
65,India,Asia,"87,000,000",0.06,0.02,50,365,$1.83,$668
